,Date,Open,High,Low,Close,Volume
0,12/31/2021,44.34,44.759998,43.18,43.220001,9829619
1,1/3/2022,43.5,43.689999,42.48,42.66,14447453
2,1/4/2022,42.849998,42.970001,40.360001,40.849998,21422442
3,1/5/2022,40.799999,41.875401,39.450001,39.5,22008559
4,1/6/2022,39.5,40.439999,38.689999,39.59,16613358
5,1/7/2022,39.650002,40.689999,39.32,39.669998,14669913
6,1/10/2022,39.330002,40.035,38.220001,39.970001,14997303
7,1/11/2022,39.790001,40.939899,39.599998,40.66,13815386
8,1/12/2022,40.880001,41.48,39.77,40.25,10439039
9,1/13/2022,40.150002,40.34,38.610001,38.700001,15075627
10,1/14/2022,38.43,39.049999,37.509998,38.439999,14849796
11,1/18/2022,37.720001,38.200001,37.130001,37.299999,14915247
12,1/19/2022,37.130001,38.279999,37.005001,37.349998,19797988
13,1/20/2022,37.84,39.029999,37.195,37.279999,17688913
14,1/21/2022,36.900002,37.080002,34.794998,34.82,25674078
15,1/24/2022,33.700001,35.139999,32.049999,35.060001,31932961
16,1/25/2022,34.220001,34.990002,33.619999,34.169998,19205772
17,1/26/2022,34.970001,35.43,33.264999,33.619999,21377945
18,1/27/2022,34.139999,35.141701,33.810001,33.84,16637276
19,1/28/2022,33.790001,35.299999,33.599998,35.27,14368685
20,1/31/2022,35.43,37.560001,35.34,37.509998,17558278
21,2/1/2022,37.84,38.169998,36.869999,38.119999,14628246
22,2/2/2022,38.290001,38.290001,36.25,36.509998,18992993
23,2/3/2022,33.84,35.18,33.84,34.48,32803389
24,2/4/2022,35.66,37.439999,34.759998,36.939999,23579592
25,2/7/2022,36.720001,37.330002,35.895,36.040001,22770464
26,2/8/2022,35.52,36.27,35.150002,35.98,17194932
27,2/9/2022,36.5,37.919998,36.139999,37.830002,24473520
28,2/10/2022,36.560001,39.099998,36.220001,37.080002,48150273
29,2/11/2022,37.419998,37.759998,35.66,35.84,23516836
30,2/14/2022,35.619999,36.610001,35.5,35.689999,15212644
31,2/15/2022,36.23,37,36.060001,36.98,21350445
32,2/16/2022,35.970001,36.285,35.52,36.240002,17602359
33,2/17/2022,35.990002,36.610001,35.32,35.43,16524414
34,2/18/2022,35.490002,35.66,34.099998,34.32,15339039
35,2/22/2022,33.66,33.93,32.75,32.93,16913051
36,2/23/2022,33.25,33.455002,32.419998,32.759998,15102051
37,2/24/2022,31.299999,35.064999,31.299999,34.98,22551009
38,2/25/2022,35.119999,35.299999,34.130001,35.290001,15394855
39,2/28/2022,34.950001,36.049999,34.855,35.549999,17962027
40,3/1/2022,35.509998,36.127602,34.705002,35.560001,17948015
41,3/2/2022,35.77,35.77,34.130001,34.619999,18255137
42,3/3/2022,34.900002,35.18,33.450001,33.490002,18791981
43,3/4/2022,33.75,34.23,32.950001,33.389999,17537857
44,3/7/2022,33.509998,33.880001,32.400002,32.419998,18780247
45,3/8/2022,32.27,33.830002,31.950001,32.68,17410612
46,3/9/2022,33.549999,34.529999,33.299999,34.369999,16886048
47,3/10/2022,33.630001,34.439999,33.369999,34.119999,12583295
48,3/11/2022,34.040001,34.110001,32.880001,33,15751909
49,3/14/2022,32.689999,33.950001,32.48,33.029999,17551479
50,3/15/2022,33.119999,34.52,33,33.970001,14677991
51,3/16/2022,34.900002,35.650002,34.32,35.369999,25197014
52,3/17/2022,35.209999,37.709999,34.889999,37.299999,30853067
53,3/18/2022,37.459999,39.044998,37.18,37.77,35946312
54,3/21/2022,37.700001,37.889999,36.639999,37.439999,20298742
55,3/22/2022,37.639999,39.044998,37.619999,38.43,17162051
56,3/23/2022,38,38.75,37.580002,38,12993635
57,3/24/2022,38.330002,39.09,38.23,38.82,18281410
58,3/25/2022,38.990002,39.470501,37.689999,38.599998,20787529
59,3/28/2022,38.439999,39.294998,38.299999,39.119999,14225619
60,3/29/2022,39.48,40.959,39.389999,40.689999,17855436
61,3/30/2022,40.349998,40.349998,38.57,39,15804341
62,3/31/2022,39.110001,39.23,38.4105,38.689999,13208334
63,4/1/2022,39.16,39.855,39,39.310001,12131791
64,4/4/2022,47.869999,51.369999,46.860001,49.970001,269213085
65,4/5/2022,53.849998,54.57,50.560001,50.98,217520098
66,4/6/2022,50.035,52.869999,49.299999,50.77,159034747
67,4/7/2022,50.470001,51.639999,46.549999,48.029999,120844135
68,4/8/2022,47.299999,48.439999,45.8321,46.23,83315946
69,4/11/2022,45.75,47.98,44.709999,47.009998,117814009
70,4/12/2022,47.029999,47.549999,44.439999,44.48,60794025
71,4/13/2022,44.799999,46.330002,44.549999,45.849998,44306698
72,4/14/2022,48.369999,48.5,44.720001,45.080002,258868339
73,4/18/2022,46.240002,48.73,44.360001,48.450001,153119550
74,4/19/2022,47.299999,48.5,45,46.16,125776037
75,4/20/2022,46.34,47.110001,45.029999,46.720001,63360019
76,4/21/2022,45.509998,47.939999,45.5,47.080002,70413596
77,4/22/2022,47.77,49.73,47.490002,48.93,76504488
78,4/25/2022,51.02,52.290001,50.240002,51.700001,176803635
79,4/26/2022,51.57,51.619999,49.43,49.68,115020379
80,4/27/2022,49.060001,49.259998,47.82,48.639999,59106880
